model_name,model_type,n_estimators,max_depth,min_samples_split,accuracy,precision,recall,roc_auc,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_roc_auc_mean,learning_rate
random_forest,RandomForestClassifier,200,5,4.0,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.9491341991341992,0.8182513661202184,0.8212295367467781,0.776984126984127,0.9083844396344396,
xgboost,XGBoost,200,4,,0.9016393442622951,0.84375,0.9642857142857143,0.9404761904761905,0.8084153005464481,0.807436112274822,0.7838624338624338,0.8872898128106461,0.1
